epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,755.988,1.17969,1.85424,1.49431,0.85018,0.47871,0.91263,0.56981,1.15351,2.65677,1.80276,0.00054889,0.00054889,0.00054889
2,1391.74,1.18053,1.31606,1.4777,0.74465,0.71163,0.88891,0.49297,1.42005,2.18213,2.04317,0.00108269,0.00108269,0.00108269
3,2017.01,1.24881,1.19316,1.52084,0.79833,0.65161,0.77714,0.45906,1.44255,2.15479,2.0498,0.00159448,0.00159448,0.00159448
4,2625.77,1.22243,1.04727,1.50863,0.75679,0.80991,0.83692,0.50144,1.54846,1.59732,2.03331,0.00156798,0.00156798,0.00156798
5,3231.18,1.16583,0.95051,1.44165,0.89009,0.87673,0.95515,0.618,1.21061,1.04892,1.74045,0.00153497,0.00153497,0.00153497
6,3840.08,1.15498,0.85348,1.43122,0.93428,0.94503,0.97221,0.67524,1.09726,0.88089,1.6114,0.00150197,0.00150197,0.00150197
7,4492.1,1.12145,0.77675,1.4039,0.95193,0.95983,0.98353,0.66656,1.1135,0.70606,1.66234,0.00146896,0.00146896,0.00146896
8,5110.56,1.09359,0.73401,1.38503,0.948,0.93688,0.96691,0.67212,1.10477,0.76525,1.61593,0.00143595,0.00143595,0.00143595
9,5734.65,1.10558,0.74217,1.39403,0.9448,0.9342,0.98204,0.65362,1.13719,0.72587,1.64224,0.00140295,0.00140295,0.00140295
10,6360.35,1.07226,0.72692,1.37682,0.93507,0.90995,0.9563,0.66818,1.04685,0.77006,1.55872,0.00136994,0.00136994,0.00136994
11,6987.53,1.05729,0.68911,1.36068,0.97802,0.97433,0.98639,0.70199,1.03158,0.57557,1.53062,0.00133693,0.00133693,0.00133693
12,7694.13,1.03697,0.65971,1.34678,0.97979,0.97269,0.98335,0.70703,1.01001,0.64233,1.52601,0.00130393,0.00130393,0.00130393
13,8393.34,1.03096,0.63859,1.34124,0.9835,0.95869,0.99122,0.69742,1.05946,0.58799,1.53737,0.00127092,0.00127092,0.00127092
14,9068.52,1.04628,0.64475,1.3435,0.9112,0.91512,0.95609,0.65688,1.11963,0.76264,1.64292,0.00123791,0.00123791,0.00123791
